o@id,o@url,o@price,o@avail,o@set,o@weight,o@basket,o@stock,o_cat,o_name,o_desc,o_imgs_main@url,o_attrs_a@name,o_attrs_a
2157,https://konopnysklep.com.pl/akcesoria/venty-mighty-x-hero-capsule-caddy-pojemnik-na-kapsulki-5szt-blue.html,19,1,0,0,1,97,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Venty / Mighty+ X HERO Capsule Caddy pojemnik na kapsułki 5szt blue,Venty / Mighty+ X HERO Capsule Caddy pojemnik na kapsułki 5szt blue,https://konopnysklep.com.pl/9254-large_default/venty-mighty-x-hero-capsule-caddy-pojemnik-na-kapsulki-5szt-blue.jpg,Producent,HERO
2158,https://konopnysklep.com.pl/akcesoria/venty-mighty-x-hero-capsule-caddy-pojemnik-na-kapsulki-5szt-green.html,19,1,0,0,1,88,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Venty / Mighty+ X HERO Capsule Caddy pojemnik na kapsułki 5szt green,Venty / Mighty+ X HERO Capsule Caddy pojemnik na kapsułki 5szt green,https://konopnysklep.com.pl/9258-large_default/venty-mighty-x-hero-capsule-caddy-pojemnik-na-kapsulki-5szt-green.jpg,Producent,HERO
2159,https://konopnysklep.com.pl/akcesoria/venty-mighty-x-hero-capsule-caddy-pojemnik-na-kapsulki-5szt-purple.html,19,1,0,0,1,98,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Venty / Mighty+ X HERO Capsule Caddy pojemnik na kapsułki 5szt purple,Venty / Mighty+ X HERO Capsule Caddy pojemnik na kapsułki 5szt purple,https://konopnysklep.com.pl/9262-large_default/venty-mighty-x-hero-capsule-caddy-pojemnik-na-kapsulki-5szt-purple.jpg,Producent,HERO
2160,https://konopnysklep.com.pl/akcesoria/mighty-mighty-crafty-x-hero-3d-cooling-stem.html,49,1,0,0,1,198,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Mighty / Mighty+ / Crafty+ X HERO 3D Cooling Stem,Mighty / Mighty+ / Crafty+ X HERO 3D Cooling Stem,https://konopnysklep.com.pl/9265-large_default/mighty-mighty-crafty-x-hero-3d-cooling-stem.jpg,Producent,HERO
2161,https://konopnysklep.com.pl/akcesoria/puffco-pivot-x-hero-bubbler.html,49,1,0,0,1,75,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",PUFFCO PIVOT X HERO Bubbler,PUFFCO PIVOT X HERO Bubbler,https://konopnysklep.com.pl/9269-large_default/puffco-pivot-x-hero-bubbler.jpg,Producent,HERO
2162,https://konopnysklep.com.pl/akcesoria/venty-x-hero-bead-stem.html,49,1,0,0,1,96,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Venty X HERO Bead Stem,Venty X HERO Bead Stem,https://konopnysklep.com.pl/9274-large_default/venty-x-hero-bead-stem.jpg,Producent,HERO
2163,https://konopnysklep.com.pl/akcesoria/mighty-mighty-crafty-x-hero-bead-stem.html,49,1,0,0,1,97,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Mighty / Mighty+ / Crafty+ X HERO Bead Stem,Mighty / Mighty+ / Crafty+ X HERO Bead Stem,https://konopnysklep.com.pl/9277-large_default/mighty-mighty-crafty-x-hero-bead-stem.jpg,Producent,HERO
2164,https://konopnysklep.com.pl/akcesoria/tinymight-2-x-hero-capsule-case-onyx.html,29,1,0,0,1,87,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Tinymight 2 X HERO capsule case onyx,Tinymight 2 X HERO,https://konopnysklep.com.pl/9282-large_default/tinymight-2-x-hero-capsule-case-onyx.jpg,Producent,HERO
2165,https://konopnysklep.com.pl/akcesoria/tinymight-2-x-hero-capsule-case-purple.html,29,1,0,0,1,98,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Tinymight 2 X HERO capsule case purple,Tinymight 2 X HERO capsule case purple,https://konopnysklep.com.pl/9286-large_default/tinymight-2-x-hero-capsule-case-purple.jpg,Producent,HERO
2166,https://konopnysklep.com.pl/akcesoria/tinymight-2-x-hero-capsule-case-green.html,29,1,0,0,1,99,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Tinymight 2 X HERO capsule case green,Tinymight 2 X HERO capsule case green,https://konopnysklep.com.pl/9290-large_default/tinymight-2-x-hero-capsule-case-green.jpg,Producent,HERO
